SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date
Recordings/puta.wav,no,p,t,u,yes,a,puta,Training,bilabial,TrainingItems,0,72,72,85,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/dadi.wav,yes,d,d,a,yes,i,dadi,Training,alveolar,TrainingItems,0,73,73,18,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuva.wav,yes,v,v,u,no,a,vuva,Training,bilabial,TrainingItems,0,74,74,19,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/didu.wav,yes,d,d,i,yes,u,didu,Training,alveolar,TrainingItems,0,75,75,65,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/susa.wav,no,s,s,u,no,a,susa,Training,alveolar,TrainingItems,0,76,76,17,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tupu.wav,no,t,p,u,yes,u,tupu,Training,alveolar,TrainingItems,0,77,77,89,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sasa.wav,no,s,s,a,no,a,sasa,Training,alveolar,TrainingItems,0,78,78,97,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pitu.wav,no,p,t,i,yes,u,pitu,Training,bilabial,TrainingItems,0,79,79,72,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zazi.wav,yes,z,z,a,no,i,zazi,Training,alveolar,TrainingItems,0,80,80,55,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/bubi.wav,yes,b,b,u,yes,i,bubi,Training,bilabial,TrainingItems,0,81,81,79,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuvu.wav,yes,v,v,u,no,u,vuvu,Training,bilabial,TrainingItems,0,82,82,21,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sifi.wav,no,s,f,i,no,i,sifi,Training,alveolar,TrainingItems,0,83,83,10,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,0,84,84,6,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pipu.wav,no,p,p,i,yes,u,pipu,Training,bilabial,TrainingItems,0,85,85,23,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vaza.wav,yes,v,z,a,no,a,vaza,Training,bilabial,TrainingItems,0,86,86,35,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tipi.wav,no,t,p,i,yes,i,tipi,Training,alveolar,TrainingItems,0,87,87,29,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/putu.wav,no,p,t,u,yes,u,putu,Training,bilabial,TrainingItems,0,88,88,36,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fusu.wav,no,f,s,u,no,u,fusu,Training,bilabial,TrainingItems,0,89,89,68,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zazu.wav,yes,z,z,a,no,u,zazu,Training,alveolar,TrainingItems,0,90,90,46,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zava.wav,yes,z,v,a,no,a,zava,Training,alveolar,TrainingItems,0,91,91,28,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zuvi.wav,yes,z,v,u,no,i,zuvi,Training,alveolar,TrainingItems,0,92,92,45,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zuzi.wav,yes,z,z,u,no,i,zuzi,Training,alveolar,TrainingItems,0,93,93,44,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/dadu.wav,yes,d,d,a,yes,u,dadu,Training,alveolar,TrainingItems,0,94,94,67,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/viza.wav,yes,v,z,i,no,a,viza,Training,bilabial,TrainingItems,0,95,95,98,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fifa.wav,no,f,f,i,no,a,fifa,Training,bilabial,TrainingItems,0,96,96,93,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pupi.wav,no,p,p,u,yes,i,pupi,Training,bilabial,TrainingItems,0,97,97,78,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vavi.wav,yes,v,v,a,no,i,vavi,Training,bilabial,TrainingItems,0,98,98,76,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tutu.wav,no,t,t,u,yes,u,tutu,Training,alveolar,TrainingItems,0,99,99,86,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
